TRAVELER_ID,GENDER,AGE_GRP,INCOME,trip_day,TRAVEL_NUM,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,SIDO,GUNGU,VISIT_AREA_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,sort
a003924,1,20,4,3,1,3,2,2,4,4,3,5,6,7,0,경기,파주시,파주프리미엄아울렛,90,4,0,4,5,5,1346
a017784,1,20,6,1,2,3,2,2,4,4,3,5,6,1,1,경기,파주시,파주프리미엄아울렛,240,4,1,5,4,4,1290
a003450,1,20,6,2,3,2,2,2,4,5,3,3,5,3,1,경기도,수원시,팔달문시장,30,4,0,4,4,3,620
a001801,1,20,4,1,4,2,2,2,4,5,3,3,5,7,1,경기도,수원시,팔달문시장,90,4,0,3,3,3,1210
a007596,0,20,4,1,2,3,2,2,3,6,4,7,7,2,1,경기,파주시,퍼스트가든,120,6,0,5,5,5,1216
a006740,1,20,2,1,2,6,6,1,5,6,4,2,7,2,0,서울,용산구,페이스갤러리,30,3,1,5,5,5,500
a000477,1,20,5,2,4,4,5,4,7,4,2,7,7,2,1,서울,성동구,페이퍼돌메이트아틀리에,60,4,0,4,3,4,1168
a015324,1,20,1,1,1,6,3,5,4,4,5,1,5,2,1,경기,안양시,평촌로데오거리,30,4,0,5,5,5,1150
a008648,0,20,3,2,1,4,1,2,2,2,5,4,5,7,1,경기,파주시,평화랜드,30,6,0,5,4,4,1310
a000800,0,20,1,1,4,4,1,2,2,2,5,4,5,3,1,경기,파주시,평화랜드,30,6,0,5,5,5,226
a001534,1,20,4,2,6,3,3,3,4,4,5,3,6,2,1,경기,포천시,포천아트밸리,60,2,0,4,3,3,775
a001909,1,20,3,2,1,3,3,3,4,4,5,3,6,1,1,경기,포천시,포천아트밸리,120,3,0,4,3,3,311
a007167,0,20,1,1,1,3,3,3,4,4,5,3,6,2,1,경기,포천시,포천아트밸리,90,1,0,5,4,4,922
a002054,1,20,3,2,5,3,3,3,4,4,5,3,6,2,1,경기,포천시,포천아트밸리,30,1,1,4,4,4,118
a003924,1,20,4,3,1,3,2,2,4,5,3,5,6,7,0,경기,파주시,프로방스마을,30,7,0,3,3,3,1347
a002991,1,20,2,1,1,3,2,2,4,5,3,5,6,1,1,경기,파주시,프로방스마을,60,7,0,3,2,3,786
a001354,1,20,4,1,3,3,2,2,4,5,3,5,6,1,3,경기,파주시,프로방스마을,30,7,0,3,3,3,1528
a000940,1,20,1,3,2,3,2,2,4,5,3,5,6,8,1,경기,파주시,프로방스마을,60,7,0,5,3,5,642
a006026,1,20,8,1,2,3,2,2,4,5,3,5,6,5,1,경기,파주시,프로방스마을,30,7,0,4,3,4,1288
a003061,1,20,5,2,4,3,2,2,4,5,3,5,6,2,1,경기,파주시,프로방스마을,30,7,0,2,1,2,1692
a007761,0,20,4,1,2,2,2,3,4,5,2,4,4,2,1,경기,수원시,플라잉수원,60,6,0,4,2,4,1912
a003657,1,20,4,3,2,2,2,3,4,5,2,4,4,1,4,경기,수원시,플라잉수원,60,5,0,5,5,5,173
a004382,0,20,3,3,2,6,2,2,6,3,3,5,4,1,1,서울,성동구,플라츠2,30,4,0,3,3,3,289
a006659,1,20,2,1,2,3,3,3,4,6,4,6,2,1,0,서울,종로구,플러스씨어터,150,3,0,4,4,5,1330
a003127,1,20,4,4,1,2,2,1,2,7,2,2,6,4,0,경기,부천시,플레이아쿠아리움 부천,90,6,0,5,5,5,1040
a008034,1,20,4,1,2,1,3,1,4,5,1,2,7,3,1,경기도,가평군,피노키오와다빈치,180,6,0,4,3,4,532
a003759,0,20,1,3,1,5,2,2,3,5,2,1,7,1,1,서울,성동구,피에스비,30,3,0,3,3,3,1618
a005129,1,20,6,1,4,2,2,5,5,3,5,2,5,1,3,경기,양주시,필룩스조명박물관,120,2,0,5,5,5,393
a006303,1,20,4,1,4,3,2,2,5,3,6,5,5,2,1,서울,강남구,필름로그 강남직영점,60,3,0,3,4,4,678
a008269,0,20,7,3,4,6,2,2,6,2,2,6,5,1,0,서울,서대문구,필름포럼,120,3,0,4,4,5,1473
a008270,1,20,1,2,1,4,1,1,7,5,1,7,7,5,1,서울,종로구,하마씨어터,120,3,0,5,5,5,1882
a000080,0,20,4,8,2,5,2,4,3,5,4,6,4,1,1,서울,중구,하이커그라운드,60,3,1,4,4,4,53
